How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
26-100,0.0,1.0,No,I would not want to be seen as unable to do the work I was interviewing for and be discriminated against.,No,I would not want to be seen as unable to do the work I was interviewing for and be discriminated against.,"Yes, I observed",No,Yes,Yes,37.0,female,United States of America,Ohio,United States of America,Kentucky
5-Jan,1.0,1.0,No,I don't feel it's important to burden others with a problem that may not effect work efficiency ,Maybe,I don't feel it's important to burden others with a problem that may not effect work efficiency ,No,Maybe,Don't Know,Yes,25.0,Male,United Kingdom,,United Kingdom,
100-500,1.0,1.0,Yes,Honesty. ,Yes,Honesty. ,No,Yes,Don't Know,Don't Know,40.0,male,Canada,,Canada,
25-Jun,1.0,1.0,Yes,,Yes,,No,No,Don't Know,Don't Know,33.0,Male,Israel,,Israel,
More than 1000,0.0,1.0,No,It would be an excuse to not hire me.,No,It would be an excuse to not hire me.,"Yes, I experienced",No,Yes,Yes,66.0,F,United States of America,Oregon,United States of America,District of Columbia
100-500,0.0,1.0,Maybe,It would depend almost entirely on how likely I thought it was to affect my work in a noticeable way.,No,It would depend almost entirely on how likely I thought it was to affect my work in a noticeable way.,"Yes, I observed",Yes,Yes,Yes,31.0,female,United States of America,Ohio,United States of America,Ohio
100-500,0.0,1.0,Maybe,"I would not bring it up during initial interviews, not until an offer was presented. Only if I expected it to affect my work or to require accommodations.",Maybe,"I would not bring it up during initial interviews, not until an offer was presented. Only if I expected it to affect my work or to require accommodations.","Yes, I observed",Yes,No,Yes,32.0,Male,Canada,,Canada,
,,,Maybe,"Very difficult question to answer bc it so much depends on what the physical health issue is and what I feel, perceive or know about how the person / company interviewing deals with the same or similarly situation health issues",No,"Very difficult question to answer bc it so much depends on what the physical health issue is and what I feel, perceive or know about how the person / company interviewing deals with the same or similarly situation health issues",No,Maybe,Yes,Yes,46.0,M,United States of America,New York,United States of America,New York
100-500,1.0,1.0,No,,No,,No,,Yes,Yes,30.0,female,United States of America,California,United States of America,California
100-500,1.0,1.0,Yes,Little to no stigma attached to physical health issues.,No,Little to no stigma attached to physical health issues.,"Yes, I observed",,Yes,Yes,31.0,Man,United States of America,Pennsylvania,United States of America,Pennsylvania
100-500,1.0,1.0,Maybe,If they seemed potentially sympathetic or the company had a good reputation for this.,No,If they seemed potentially sympathetic or the company had a good reputation for this.,No,No,Yes,Yes,46.0,Male,Iceland,,Iceland,
,,,Yes,,No,,"Yes, I observed",,Yes,Yes,29.0,,Canada,,Canada,
More than 1000,0.0,1.0,Maybe,,No,,No,Maybe,Yes,Yes,28.0,f,United States of America,Tennessee,United States of America,Tennessee
25-Jun,0.0,1.0,Maybe,I want to work hard in the company and have will to be treated normally.,Maybe,I want to work hard in the company and have will to be treated normally.,Maybe/Not sure,Yes,Possibly,Yes,34.0,Female,Japan,,Japan,
26-100,1.0,1.0,Yes,It may require special arrangements to be made or could possibly affect my ability to do my job if not handled properly.,Maybe,It may require special arrangements to be made or could possibly affect my ability to do my job if not handled properly.,No,Maybe,Yes,Yes,25.0,Male,United States of America,Minnesota,United States of America,Minnesota
100-500,0.0,1.0,Maybe,"Unless it impacts my work, I wouldn't bring it up.",No,"Unless it impacts my work, I wouldn't bring it up.",No,Maybe,Possibly,Yes,35.0,Male,United States of America,Kansas,United States of America,Kansas
,,,Yes,,Maybe,,Maybe/Not sure,Maybe,No,No,25.0,,Indonesia,,Indonesia,
100-500,1.0,1.0,Yes,to determine if I'm adequate candidate and if so if their health insurance would cover some costs associated w/ treatment,No,to determine if I'm adequate candidate and if so if their health insurance would cover some costs associated w/ treatment,No,,Possibly,Possibly,40.0,male,United States of America,Colorado,United States of America,Colorado
100-500,0.0,1.0,Maybe,Depends on what it was.,Maybe,Depends on what it was.,Maybe/Not sure,,Don't Know,Yes,32.0,M,United States of America,Virginia,United States of America,Virginia
100-500,0.0,1.0,Yes,Minimal stigma attached.,No,Minimal stigma attached.,No,,Yes,No,39.0,Male,United States of America,Virginia,United States of America,Virginia
500-1000,1.0,1.0,No,"They don't need to know if I am able to treat the symptoms, and have no negative effect on my work. ",No,"They don't need to know if I am able to treat the symptoms, and have no negative effect on my work. ",No,Maybe,Yes,Yes,33.0,male,United States of America,Colorado,United States of America,Colorado
100-500,1.0,1.0,Maybe,Depends if it is related to access to the building or office space.,No,Depends if it is related to access to the building or office space.,No,No,Possibly,Possibly,40.0,Male,United States of America,Virginia,United States of America,Virginia
500-1000,1.0,1.0,Maybe,I think it depends on if I believe the physical health issue would have a material impact on my ability to do the job,Maybe,I think it depends on if I believe the physical health issue would have a material impact on my ability to do the job,Maybe/Not sure,No,Yes,Yes,42.0,male,United States of America,Minnesota,United States of America,Minnesota
More than 1000,0.0,1.0,Yes,Physical Limitations,Maybe,Physical Limitations,"Yes, I observed",No,Yes,Yes,32.0,Male,United States of America,Tennessee,United States of America,Tennessee
More than 1000,0.0,1.0,Maybe,It might affect my chances of getting the job,No,It might affect my chances of getting the job,"Yes, I experienced",Yes,Yes,Yes,27.0,Female,United States of America,Illinois,United States of America,Illinois
,,,No,I would be afraid of the lack of support and bias.,No,I would be afraid of the lack of support and bias.,"Yes, I experienced",Yes,Yes,Yes,43.0,Female,United Kingdom,,United Kingdom,
25-Jun,0.0,1.0,Maybe,prevent if something happen in the future regarding my physical issue,No,prevent if something happen in the future regarding my physical issue,Maybe/Not sure,No,Possibly,Possibly,30.0,female,Indonesia,,Indonesia,
26-100,0.0,1.0,Maybe,People can understand physical disorders.  They are more tangible.,Maybe,People can understand physical disorders.  They are more tangible.,No,Maybe,Yes,Yes,39.0,male,United States of America,Minnesota,United States of America,Minnesota
25-Jun,1.0,1.0,Maybe,I think in the case of chronic illness it can deter employers from hiring you,No,I think in the case of chronic illness it can deter employers from hiring you,No,No,Yes,Yes,42.0,Female,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,Yes,It's more accepted,Maybe,It's more accepted,"Yes, I observed",No,Yes,Yes,37.0,Genderfluid,Canada,,Canada,
500-1000,0.0,1.0,Maybe,"Only if that issue was acute (ie upcoming surgery that would need to be accommodated). Never discuss chronic condition that would be badly understood, like reproductive issues or migraines.",No,"Only if that issue was acute (ie upcoming surgery that would need to be accommodated). Never discuss chronic condition that would be badly understood, like reproductive issues or migraines.","Yes, I experienced",Maybe,Yes,Yes,38.0,Female,United States of America,Wisconsin,United States of America,Wisconsin
More than 1000,1.0,1.0,Yes,Because they may need to know in order for me to be an effective employee,Maybe,Because they may need to know in order for me to be an effective employee,Maybe/Not sure,,No,Don't Know,47.0,Male,United Kingdom,,United Kingdom,
500-1000,1.0,1.0,Maybe,Trust,Maybe,Trust,"Yes, I observed",Maybe,Yes,Yes,64.0,male,United Kingdom,,United Kingdom,
100-500,0.0,0.0,Maybe,I fear discrimination against me for perceived inability.,No,I fear discrimination against me for perceived inability.,"Yes, I experienced",Yes,Yes,Yes,28.0,Male,Canada,,Canada,
,,,Maybe,Some physical health issues may impact my ability to perform certain job functions.,No,Some physical health issues may impact my ability to perform certain job functions.,Maybe/Not sure,Maybe,Possibly,Possibly,45.0,Male,United States of America,California,United States of America,California
100-500,1.0,1.0,Yes,,Maybe,,No,,No,No,37.0,M,United Kingdom,,United Kingdom,
26-100,1.0,1.0,No,I don't have any physical illnesses that would impact upon my work. ,No,I don't have any physical illnesses that would impact upon my work. ,No,No,Yes,Yes,30.0,Female,United Kingdom,,United Kingdom,
100-500,0.0,1.0,Maybe,It depends on whether it would be relevant to the conversation and/or position.,Maybe,It depends on whether it would be relevant to the conversation and/or position.,No,No,No,No,25.0,Male,United Kingdom,,United Kingdom,
26-100,1.0,1.0,Maybe,,No,,"Yes, I observed",No,,Yes,25.0,Female,United Kingdom,,United Kingdom,
,,,No,It is not any of their business in an interview.,No,It is not any of their business in an interview.,"Yes, I observed",Yes,Yes,Yes,54.0,Female,United States of America,Minnesota,United States of America,Minnesota
500-1000,1.0,0.0,No,Would be viewed as detrimental to chance of employment,Yes,Would be viewed as detrimental to chance of employment,No,No,No,Yes,61.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,No,To avoid them making any perception on me which might affect my workflow and progress,No,To avoid them making any perception on me which might affect my workflow and progress,No,Yes,No,No,26.0,male,India,,India,
More than 1000,0.0,1.0,Maybe,Depends on how desperate I am for the job.  I might hold back if I think I can work around my problem.,No,Depends on how desperate I am for the job.  I might hold back if I think I can work around my problem.,"Yes, I experienced",No,Yes,Yes,44.0,Female,United States of America,Ohio,United States of America,Ohio
25-Jun,1.0,1.0,Yes,,No,,Maybe/Not sure,Yes,Possibly,Yes,26.0,male,Portugal,,Portugal,
26-100,1.0,1.0,Yes,Because it may interfer with work,Maybe,Because it may interfer with work,"Yes, I experienced",Yes,Yes,Yes,26.0,Female,Portugal,,Portugal,
25-Jun,1.0,1.0,No,physical health isn't mandatory for me to do my job as a designer. i'd answer if they asked but wouldn't bring it up on my own.,No,physical health isn't mandatory for me to do my job as a designer. i'd answer if they asked but wouldn't bring it up on my own.,No,No,Possibly,No,35.0,female,United States of America,Washington,United States of America,Washington
26-100,1.0,1.0,No,Concern that it would admit undue bias.,No,Concern that it would admit undue bias.,Maybe/Not sure,No,No,No,45.0,Male,United States of America,Maryland,United States of America,Maryland
26-100,1.0,1.0,Maybe,"If it was relevant to the job, I would bring it up",No,"If it was relevant to the job, I would bring it up",No,No,Possibly,No,23.0,Male,United States of America,Minnesota,United States of America,Minnesota
More than 1000,0.0,1.0,Yes,"I would bring it up if I felt it were relevant to the position or would have some impact on my work arrangement (e.g., I have bad knees and would prefer a sit/stand desk option).",Maybe,"I would bring it up if I felt it were relevant to the position or would have some impact on my work arrangement (e.g., I have bad knees and would prefer a sit/stand desk option).",No,Maybe,Don't Know,Don't Know,44.0,Male,United States of America,Ohio,United States of America,Ohio
More than 1000,0.0,1.0,No,,No,,"Yes, I observed",Maybe,Yes,Possibly,38.0,male,United States of America,Ohio,United States of America,Ohio
500-1000,0.0,1.0,No,I would fear being excluded because of it. Legal or not. ,No,I would fear being excluded because of it. Legal or not. ,Maybe/Not sure,No,Yes,No,46.0,Male,United States of America,Ohio,United States of America,Ohio
500-1000,0.0,1.0,Maybe,Only if it would require a special accomodation,No,Only if it would require a special accomodation,Maybe/Not sure,Yes,Yes,Yes,27.0,Nonbinary,United States of America,Ohio,United States of America,Ohio
100-500,0.0,1.0,No,Privacy issues,No,Privacy issues,"Yes, I observed",No,Yes,Yes,39.0,female,United States of America,Ohio,United States of America,Ohio
26-100,1.0,1.0,Maybe,If it affected my attendance or my needs at work I would need to let them know,No,If it affected my attendance or my needs at work I would need to let them know,"Yes, I experienced",Yes,Yes,Possibly,33.0,Female ,United States of America,Montana,United States of America,Montana
,,,No,Fear of discrimination,No,Fear of discrimination,No,Maybe,Yes,Yes,38.0,female,United States of America,Colorado,United States of America,Colorado
26-100,0.0,1.0,No,"Wouldnât want it used as a reason not to be offered the job, irrespective of whether itâs âlegalâ or not, health issues are barriers for employers.",No,"Wouldnât want it used as a reason not to be offered the job, irrespective of whether itâs âlegalâ or not, health issues are barriers for employers.",Maybe/Not sure,,No,No,35.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,No,My experience is they don't care.,No,My experience is they don't care.,"Yes, I experienced",Maybe,Possibly,Yes,32.0,male,Czech Republic,,Germany,
More than 1000,1.0,1.0,No,A bit too personal for an interview. I'm afraid it might screw up my chances.,No,A bit too personal for an interview. I'm afraid it might screw up my chances.,"Yes, I observed",,Possibly,Yes,26.0,Female,United States of America,California,United States of America,California
100-500,1.0,1.0,Yes,"Theoretically, ADA and other laws would prevent discrimination.",No,"Theoretically, ADA and other laws would prevent discrimination.","Yes, I observed",Yes,Yes,Yes,50.0,cis-male,United States of America,Pennsylvania,United States of America,Pennsylvania
100-500,1.0,1.0,Maybe,"I don't have physical health issues, so I'm not sure whether I'd volunteer that. I probably wouldn't though; it seems disadvantageous to state something that would either make my interviewer uncomfortable or worse, biased against/toward me.",No,"I don't have physical health issues, so I'm not sure whether I'd volunteer that. I probably wouldn't though; it seems disadvantageous to state something that would either make my interviewer uncomfortable or worse, biased against/toward me.",No,,Yes,Yes,31.0,Male,United States of America,Utah,United States of America,California
More than 1000,1.0,1.0,Maybe,"I might end up discussing a physical health issue in an interview because they could become harder to hide or, more likely, not manageable if not openly acknowledged.",No,"I might end up discussing a physical health issue in an interview because they could become harder to hide or, more likely, not manageable if not openly acknowledged.",No,No,No,Don't Know,46.0,Male,Romania,,Romania,
26-100,1.0,1.0,Maybe,It would depend on whether or not it had an impact on my ability to do the job,No,It would depend on whether or not it had an impact on my ability to do the job,No,Maybe,Yes,Yes,30.0,Male,United States of America,California,United States of America,California
More than 1000,1.0,1.0,Maybe,I would be worried it would effect my ability to be hired.,No,I would be worried it would effect my ability to be hired.,No,No,Yes,Yes,30.0,Mail,United States of America,Minnesota,United States of America,Minnesota
100-500,1.0,1.0,Maybe,,Maybe,,"Yes, I observed",,Yes,Yes,34.0,male,Germany,,Germany,
More than 1000,0.0,0.0,Maybe,Wouldn't want it to affect my chances of getting the job,No,Wouldn't want it to affect my chances of getting the job,Maybe/Not sure,Maybe,No,No,42.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Maybe,Depends if it's relevant to the job.,No,Depends if it's relevant to the job.,"Yes, I experienced",No,Yes,Yes,24.0,Female,United States of America,Washington,United States of America,Washington
,,,Yes,,No,,"Yes, I experienced",Yes,Yes,Yes,30.0,Male,United States of America,Texas,United States of America,Texas
26-100,1.0,1.0,Maybe,,Maybe,,No,,Don't Know,Don't Know,23.0,Male,Canada,,Canada,
100-500,1.0,1.0,No,,No,,No,Yes,Yes,Yes,31.0,female,United States of America,California,United States of America,California
26-100,1.0,1.0,Yes,\-,No,\-,Maybe/Not sure,Maybe,No,Possibly,31.0,male,Finland,,Finland,
100-500,1.0,1.0,Maybe,I wouldn't bring it up unless I required reasonable accommodation to do my job.,Maybe,I wouldn't bring it up unless I required reasonable accommodation to do my job.,"Yes, I experienced",Yes,Yes,Yes,27.0,Woman,United States of America,Illinois,United States of America,Illinois
,,,Yes,,No,,No,Maybe,Possibly,No,26.0,Male,Pakistan,,Pakistan,
500-1000,0.0,1.0,No,"My main physical issue is Traumatic Brain Injury (TBI), which has as much or more stigma associated with it than mental health problems.  Particularly when going to work with very smart people.  It affects communications, word recall, and headaches.",No,"My main physical issue is Traumatic Brain Injury (TBI), which has as much or more stigma associated with it than mental health problems.  Particularly when going to work with very smart people.  It affects communications, word recall, and headaches.","Yes, I observed",Yes,No,No,52.0,Female,United States of America,Washington,United States of America,Washington
,,,Yes,I had,Yes,I had,Maybe/Not sure,Maybe,No,Don't Know,28.0,Male,Belgium,,Portugal,
5-Jan,1.0,1.0,Maybe,It might disqualify me from the position. Even if I was told because it was for another reason. ,No,It might disqualify me from the position. Even if I was told because it was for another reason. ,"Yes, I observed",,Don't Know,Possibly,37.0,male,United States of America,Oregon,United States of America,Oregon
500-1000,0.0,1.0,Maybe,,Maybe,,No,No,Possibly,No,37.0,male,Canada,,Canada,
More than 1000,0.0,1.0,No,Its not what I'm thinking about in an interview.,No,Its not what I'm thinking about in an interview.,No,Maybe,Yes,Yes,38.0,Male,United States of America,Oregon,United States of America,California
,,,Maybe,,No,,No,No,Yes,Yes,57.0,Female,United States of America,Maryland,United States of America,Maryland
More than 1000,1.0,1.0,No,"My line of work isn't physically demanding. For the physical problems that may get it the way, I think I know of many accommodations for disability, permanent or temporary. I have mostly worked from home, so I have control over my physical environment.",No,"My line of work isn't physically demanding. For the physical problems that may get it the way, I think I know of many accommodations for disability, permanent or temporary. I have mostly worked from home, so I have control over my physical environment.",Maybe/Not sure,No,No,Yes,34.0,Male,United States of America,New York,United States of America,New York
More than 1000,1.0,1.0,No,I think it could be counterproductive,No,I think it could be counterproductive,"Yes, I observed",Yes,Possibly,No,38.0,female,Germany,,Germany,
26-100,1.0,1.0,Maybe,It would depend on how obvious it was or how likely it would be to view as a detriment to my potential work,No,It would depend on how obvious it was or how likely it would be to view as a detriment to my potential work,"Yes, I observed",,No,Possibly,30.0,Male,United States of America,Oregon,United States of America,Oregon
More than 1000,0.0,1.0,No,Lower marketability,No,Lower marketability,No,Yes,Don't Know,Possibly,52.0,Male,United States of America,Georgia,United States of America,Georgia
,,,Maybe,,No,,No,No,Yes,Yes,31.0,Female,United States of America,California,United States of America,California
,,,Yes,,Yes,,"Yes, I observed",No,Possibly,No,29.0,Male,Germany,,Germany,
25-Jun,1.0,1.0,No,Will not get job,No,Will not get job,No,Maybe,No,Don't Know,26.0,Female,United Kingdom,,United Kingdom,
26-100,0.0,0.0,No,I have a brain disorder and a connective tissue disorder both life long disorders that will physically cause issues it is not worth it,No,I have a brain disorder and a connective tissue disorder both life long disorders that will physically cause issues it is not worth it,Maybe/Not sure,Maybe,Yes,Yes,29.0,female,United States of America,Ohio,United States of America,Ohio
More than 1000,1.0,1.0,Yes,,No,,"Yes, I experienced",Yes,Yes,Yes,44.0,Male,United States of America,Washington,United States of America,Washington
,,,Yes,acommodations should be made for physical health issues,Maybe,acommodations should be made for physical health issues,I've always been self-employed,Maybe,Don't Know,Possibly,18.0,male/androgynous ,Canada,,Canada,
More than 1000,1.0,1.0,No,Discrimination.,No,Discrimination.,"Yes, I observed",No,Yes,Yes,42.0,Male,Australia,,Australia,
25-Jun,0.0,1.0,No,Must appear to be the ideal canidate,No,Must appear to be the ideal canidate,Maybe/Not sure,Maybe,Possibly,Possibly,30.0,Male,United States of America,Tennessee,United States of America,Tennessee
100-500,1.0,0.0,No,I do not think an interview is the proper place for that discussion unless that physical problem will effect your daily work.,Maybe,I do not think an interview is the proper place for that discussion unless that physical problem will effect your daily work.,No,,Yes,Yes,29.0,M,United States of America,New York,United States of America,New York
More than 1000,1.0,1.0,No,I would wait until after an offer had been extended to discuss what impact my issue might have on employment.,No,I would wait until after an offer had been extended to discuss what impact my issue might have on employment.,No,No,Possibly,Yes,27.0,Female,United States of America,Texas,United States of America,Texas
More than 1000,1.0,1.0,Maybe,I wouldn't bring up a physical health issue unless it might directly impact my work. Then I would definitely mention it.,No,I wouldn't bring up a physical health issue unless it might directly impact my work. Then I would definitely mention it.,"Yes, I experienced",Yes,Yes,Yes,39.0,Male,United States of America,Washington,United States of America,Washington
100-500,1.0,1.0,Maybe,If it was something that would affect my performance yes. Or if they asked me directly yes.,No,If it was something that would affect my performance yes. Or if they asked me directly yes.,"Yes, I observed",No,No,No,40.0,female,United States of America,California,United States of America,California
More than 1000,1.0,1.0,Maybe,Only if accommodations needed,Maybe,Only if accommodations needed,Maybe/Not sure,No,Yes,Possibly,36.0,female,United States of America,Pennsylvania,United States of America,Pennsylvania
,,,Maybe,"
",No,"
",I've always been self-employed,Yes,No,Don't Know,48.0,female,United States of America,California,United States of America,California
More than 1000,1.0,1.0,Maybe,,Maybe,,Maybe/Not sure,No,Don't Know,Don't Know,43.0,male,United States of America,Colorado,United States of America,Colorado
100-500,1.0,1.0,Maybe,Depends on the nature of the health issue and possibly opening myself to discriminatory practices,No,Depends on the nature of the health issue and possibly opening myself to discriminatory practices,Maybe/Not sure,Yes,Yes,Yes,38.0,Man,United States of America,New Mexico,United States of America,New Mexico
26-100,1.0,1.0,Maybe,Really just depends on the issue vs. context.,Maybe,Really just depends on the issue vs. context.,No,No,Yes,No,42.0,Male,United States of America,California,United States of America,California
500-1000,1.0,1.0,Yes,If it had the possibility of impacting my work,Yes,If it had the possibility of impacting my work,"Yes, I experienced",Maybe,Possibly,Yes,46.0,Male,United Kingdom,,United Kingdom,
More than 1000,0.0,0.0,No,,No,,"Yes, I observed",No,,Yes,30.0,male,United States of America,Virginia,United States of America,Virginia
25-Jun,0.0,1.0,Maybe,"If it affected my performance, I would bring it up.",Maybe,"If it affected my performance, I would bring it up.","Yes, I observed",Yes,Yes,Yes,25.0,Male,United Kingdom,,United Kingdom,
500-1000,1.0,1.0,Maybe,"If I thought it might impact access/ability to work, then I would. If it wouldn't impact my ability to do the job, it would be irrelevant.",No,"If I thought it might impact access/ability to work, then I would. If it wouldn't impact my ability to do the job, it would be irrelevant.",Maybe/Not sure,,No,Don't Know,28.0,,Canada,,Canada,
100-500,1.0,1.0,Maybe,"I've never been in the position, so I can't properly say yes or no. But I think it would depend on how far along I am in the interview and what kind of physical health issue it is (ie broken leg that will heal vs disability that would alter the way they plan events etc)",Yes,"I've never been in the position, so I can't properly say yes or no. But I think it would depend on how far along I am in the interview and what kind of physical health issue it is (ie broken leg that will heal vs disability that would alter the way they plan events etc)","Yes, I observed",Yes,Possibly,Possibly,24.0,Female,Germany,,Germany,
5-Jan,1.0,1.0,Maybe,,Maybe,,No,No,No,No,26.0,male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Maybe,"depends on the interview, typically no",No,"depends on the interview, typically no","Yes, I experienced",Yes,Yes,Yes,43.0,cis hetero male,United States of America,North Carolina,United States of America,North Carolina
More than 1000,0.0,1.0,No,They can always choose someone who is healthier than I am (currently) with the same skillset.,No,They can always choose someone who is healthier than I am (currently) with the same skillset.,No,Maybe,Yes,Yes,25.0,Female,United States of America,New York,United States of America,New York
More than 1000,0.0,1.0,Yes,Physical health issues are generally apparent and given reasonable consideration.,No,Physical health issues are generally apparent and given reasonable consideration.,No,,Yes,Yes,34.0,male,United States of America,Arizona,United States of America,Arizona
26-100,1.0,1.0,Maybe,"If the physical health issue could impede the work, it may be better to make it known in the interview process.",No,"If the physical health issue could impede the work, it may be better to make it known in the interview process.",Maybe/Not sure,,No,No,28.0,female,United States of America,District of Columbia,United States of America,District of Columbia
26-100,1.0,1.0,Yes,,Maybe,,"Yes, I experienced",No,Possibly,Yes,27.0,Male,South Africa,,South Africa,
26-100,1.0,1.0,Maybe,If he socializes in a nice way I would share other wise not,Maybe,If he socializes in a nice way I would share other wise not,Maybe/Not sure,No,Don't Know,Don't Know,22.0,Male,India,,India,
26-100,1.0,1.0,No,to not influence a possible work offer,No,to not influence a possible work offer,No,,No,No,24.0,female,Romania,,Romania,
,,,Maybe,no,Maybe,no,No,Yes,,Yes,33.0,female,Pakistan,,Pakistan,
,,,Maybe,honesty,Maybe,honesty,"Yes, I experienced",No,Yes,Possibly,41.0,m,Germany,,Germany,
26-100,1.0,1.0,Yes,,No,,"Yes, I observed",,Possibly,Possibly,26.0,Female,United Kingdom,,United Kingdom,
,,,Yes,Less stigma,No,Less stigma,"Yes, I experienced",Maybe,Yes,Yes,39.0,Male,United States of America,California,United States of America,California
5-Jan,1.0,1.0,Yes,,No,,Maybe/Not sure,,Possibly,Possibly,24.0,male,United States of America,Tennessee,United States of America,Tennessee
